id,dex,celltype
lung_b13_130C,Covid,lung
thyroid_b18_129N,Covid,thyroid
lung_b13_131N,Covid,lung
lung_b13_131C,Covid,lung
testis_b1_128C,Covid,testis
thyroid_b18_129C,Covid,thyroid
thyroid_b18_131C,Covid,thyroid
thyroid_b18_132N,Covid,thyroid
thyroid_b18_132C,Covid,thyroid
thyroid_b18_134N,Covid,thyroid
lung_b11_133N,Noncovid,lung
lung_b11_133C,Noncovid,lung
lung_b12_132C,Noncovid,lung
lung_b12_133N,Noncovid,lung
lung_b12_133C,Noncovid,lung
lung_b13_133N,Noncovid,lung
liver_b8_132C,Noncovid,liver
liver_b8_133N,Noncovid,liver
liver_b6_131C,Noncovid,liver
liver_b6_132N,Noncovid,liver
liver_b6_132C,Noncovid,liver
liver_b7_133C,Noncovid,liver
testis_b1_129N,Noncovid,testis
testis_b1_129C,Noncovid,testis
testis_b1_130N,Noncovid,testis
testis_b1_130C,Noncovid,testis
testis_b1_131N,Noncovid,testis
spleen_b9_131N,Noncovid,spleen
spleen_b9_132N,Noncovid,spleen
spleen_b9_133N,Noncovid,spleen
spleen_b10_131C,Noncovid,spleen
spleen_b10_132C,Noncovid,spleen
spleen_b10_133C,Noncovid,spleen
spleen_b11_127C,Noncovid,spleen
spleen_b9_131C,Noncovid,spleen
spleen_b9_132C,Noncovid,spleen
spleen_b9_133C,Noncovid,spleen
spleen_b10_132N,Noncovid,spleen
spleen_b10_133N,Noncovid,spleen
spleen_b11_127N,Noncovid,spleen
spleen_b11_128N,Noncovid,spleen
kidney_b2_132N,Noncovid,kidney
kidney_b2_132C,Noncovid,kidney
kidney_b3_131N,Noncovid,kidney
kidney_b3_132N,Noncovid,kidney
kidney_b4_132N,Noncovid,kidney
kidney_b4_133N,Noncovid,kidney
kidney_b5_130C,Noncovid,kidney
kidney_b3_133N,Noncovid,kidney
kidney_b5_131C,Noncovid,kidney
kidney_b5_132C,Noncovid,kidney
kidney_b2_131C,Noncovid,kidney
kidney_b2_133N,Noncovid,kidney
kidney_b3_131C,Noncovid,kidney
kidney_b3_132C,Noncovid,kidney
kidney_b4_132C,Noncovid,kidney
kidney_b4_133C,Noncovid,kidney
kidney_b5_131N,Noncovid,kidney
kidney_b5_132N,Noncovid,kidney
kidney_b5_133N,Noncovid,kidney
heart_b16_131N,Noncovid,heart
heart_b15_132C,Noncovid,heart
heart_b14_133N,Noncovid,heart
heart_b15_133C,Noncovid,heart
heart_b16_133N,Noncovid,heart
heart_b15_132N,Noncovid,heart
heart_b16_133C,Noncovid,heart
heart_b14_133C,Noncovid,heart
thyroid_b17_128C,Noncovid,thyroid
thyroid_b17_129N,Noncovid,thyroid
thyroid_b17_129C,Noncovid,thyroid
thyroid_b17_131C,Noncovid,thyroid
thyroid_b17_132N,Noncovid,thyroid
thyroid_b17_132C,Noncovid,thyroid
thyroid_b17_134N,Noncovid,thyroid
thyroid_b18_127N,Noncovid,thyroid
thyroid_b18_127C,Noncovid,thyroid
thyroid_b18_128N,Noncovid,thyroid
thyroid_b18_130N,Noncovid,thyroid
thyroid_b18_130C,Noncovid,thyroid
thyroid_b18_131N,Noncovid,thyroid
thyroid_b18_133N,Noncovid,thyroid
thyroid_b18_133C,Noncovid,thyroid
